Minute,Util_S26,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,0,15
239,0,14
240,0,14
241,0,13
242,0,13
243,0,13
244,0,14
245,0,15
246,0,15
247,0,15
248,0,16
249,0,16
250,0,16
251,0,16
252,0,17
253,0,18
254,0,18
255,0,18
256,0,18
257,0,19
258,0,19
259,0,19
260,0,18
261,0,19
262,0,18
263,0,21
264,0,21
265,0,21
266,0,24
267,0,25
268,0,26
269,0,27
270,0,29
271,0,29
272,0,30
273,0,27
274,0,30
275,0,30
276,0,30
277,0,32
278,0,34
279,0,37
280,0,39
281,0,43
282,0,45
283,0,46
284,0,45
285,0,50
286,0,53
287,0,54
288,0,57
289,0,56
290,0,58
291,0,62
292,0,66
293,0,66
294,0,65
295,0,65
296,0,69
297,0,72
298,0,79
299,0,81
300,0,84
301,0,86
302,0,86
303,0,90
304,0,96
305,0,96
306,0,94
307,0,101
308,0,101
309,0,101
310,0,103
311,0,109
312,0,113
313,0,116
314,0,120
315,0,129
316,0,130
317,0,137
318,0,137
319,0,139
320,0,144
321,0,146
322,0,147
323,0,153
324,0,154
325,0,164
326,0,170
327,0,176
328,0,177
329,0,179
330,0,182
331,0,185
332,0,192
333,0,200
334,0,201
335,0,210
336,0,220
337,0,232
338,0,237
339,0,253
340,0,258
341,0,267
342,0,269
343,0,277
344,0,283
345,0,291
346,0,292
347,0,304
348,0,305
349,0,325
350,0,325
351,0,336
352,0,348
353,0,353
354,1,356
355,1,369
356,1,373
357,1,373
358,1,383
359,1,379
360,1,401
361,2,411
362,2,425
363,2,431
364,3,443
365,3,449
366,3,456
367,3,462
368,3,483
369,3,484
370,3,490
371,4,486
372,4,497
373,4,506
374,4,503
375,4,516
376,4,518
377,4,521
378,3,537
379,5,539
380,5,547
381,5,561
382,7,564
383,7,579
384,7,586
385,9,613
386,9,634
387,8,648
388,9,668
389,9,664
390,9,681
391,9,695
392,8,702
393,8,703
394,8,714
395,8,740
396,10,748
397,9,765
398,9,776
399,9,791
400,10,814
401,10,828
402,12,836
403,13,843
404,13,842
405,14,853
406,15,855
407,15,866
408,15,874
409,15,902
410,14,924
411,14,931
412,13,923
413,12,941
414,14,958
415,12,975
416,13,990
417,13,999
418,13,1001
419,13,1008
420,12,1024
421,13,1034
422,13,1046
423,15,1061
424,14,1060
425,14,1084
426,15,1084
427,16,1088
428,16,1097
429,16,1105
430,16,1121
431,15,1139
432,12,1156
433,12,1190
434,11,1202
435,11,1231
436,11,1230
437,11,1252
438,10,1256
439,10,1261
440,10,1283
441,11,1288
442,13,1322
443,11,1341
444,9,1375
445,10,1384
446,10,1389
447,10,1427
448,10,1472
449,10,1482
450,10,1515
451,10,1531
452,9,1559
453,6,1595
454,6,1629
455,7,1658
456,8,1684
457,9,1694
458,8,1716
459,8,1749
460,11,1766
461,12,1823
462,11,1828
463,11,1867
464,10,1882
465,10,1924
466,10,1939
467,11,1945
468,11,1943
469,11,1970
470,11,1966
471,10,1983
472,11,1994
473,11,1974
474,12,1957
475,11,2001
476,11,2006
477,12,2003
478,10,1984
479,10,1956
480,11,1980
481,11,1988
482,11,2001
483,10,2024
484,10,2026
485,10,2059
486,10,2024
487,8,2010
488,8,2000
489,8,2006
490,9,2012
491,9,1987
492,8,1995
493,7,1980
494,6,1950
495,6,1947
496,6,1920
497,6,1902
498,5,1913
499,5,1867
500,7,1884
501,8,1878
502,9,1860
503,7,1861
504,9,1837
505,9,1843
506,9,1821
507,11,1798
508,13,1826
509,13,1840
510,14,1827
511,16,1833
512,16,1845
513,16,1837
514,17,1829
515,16,1842
516,16,1846
517,18,1856
518,17,1885
519,18,1892
520,20,1890
521,20,1879
522,20,1867
523,21,1877
524,21,1832
525,21,1842
526,19,1809
527,18,1798
528,18,1784
529,18,1759
530,18,1766
531,20,1769
532,14,1747
533,13,1746
534,13,1712
535,13,1727
536,14,1718
537,12,1706
538,12,1710
539,12,1684
540,13,1681
541,13,1676
542,11,1667
543,11,1641
544,12,1617
545,12,1628
546,14,1616
547,13,1611
